tempreture,wind_speed,humidity,visibility,pressure,time_now
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:35
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:36
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:37
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:38
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:39
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:40
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:41
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:41
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:42
22°C,26 km/h,36%,10000m,1014.0mb,14/04/2022 12:47:43
